Order,Seasonal order,Result
"(0, 1, 2)","(2, 0, 1, 12)",47242.2245130082
"(0, 1, 2)","(2, 0, 2, 12)",44937.753849545756
"(0, 1, 2)","(2, 1, 0, 12)",54648.352761030386
"(0, 1, 2)","(2, 1, 1, 12)",45947.51441456897
"(0, 1, 2)","(2, 1, 2, 12)",44591.89754476417
"(0, 1, 2)","(2, 2, 0, 12)",72183.64347272643
"(0, 1, 2)","(2, 2, 1, 12)",54726.82154324169
"(0, 1, 2)","(2, 2, 2, 12)",46320.4252848376
"(0, 2, 0)","(0, 0, 0, 12)",62216.90034970513
"(0, 2, 0)","(0, 0, 1, 12)",62193.02070084461
"(0, 2, 0)","(0, 0, 2, 12)",62134.85851388167
"(0, 2, 0)","(0, 1, 0, 12)",79441.1164212984
"(0, 2, 0)","(0, 1, 1, 12)",61952.185704869844
"(0, 2, 0)","(0, 1, 2, 12)",61891.43552796786
"(0, 2, 0)","(0, 2, 0, 12)",105941.70935723087
"(0, 2, 0)","(0, 2, 1, 12)",79460.60920357678
"(0, 2, 0)","(0, 2, 2, 12)",62080.51683917732
"(0, 2, 0)","(1, 0, 0, 12)",62195.08586412296
"(0, 2, 0)","(1, 0, 1, 12)",62187.18045353929
"(0, 2, 0)","(1, 0, 2, 12)",62136.6990816681
"(0, 2, 0)","(1, 1, 0, 12)",72877.44306135377
"(0, 2, 0)","(1, 1, 1, 12)",61934.313755545925
"(0, 2, 0)","(1, 1, 2, 12)",61519.22108195073
"(0, 2, 0)","(1, 2, 0, 12)",92329.66206907708
"(0, 2, 0)","(1, 2, 1, 12)",72943.15864096623
"(0, 2, 0)","(1, 2, 2, 12)",62068.02659194878
"(0, 2, 0)","(2, 0, 0, 12)",62127.52721404508
"(0, 2, 0)","(2, 0, 1, 12)",62128.85318494333
"(0, 2, 0)","(2, 0, 2, 12)",60698.15465702811
"(0, 2, 0)","(2, 1, 0, 12)",69732.54396817509
"(0, 2, 0)","(2, 1, 1, 12)",61813.53518565463
"(0, 2, 0)","(2, 1, 2, 12)",61807.01989783277
"(0, 2, 0)","(2, 2, 0, 12)",86746.2919738777
"(0, 2, 0)","(2, 2, 1, 12)",69803.57848289913
"(0, 2, 0)","(2, 2, 2, 12)",62006.25450703421
"(0, 2, 1)","(0, 0, 0, 12)",47877.18404486778
"(0, 2, 1)","(0, 0, 1, 12)",47854.35583488804
"(0, 2, 1)","(0, 0, 2, 12)",47833.198127786825
"(0, 2, 1)","(0, 1, 0, 12)",65230.69782596155
"(0, 2, 1)","(0, 1, 1, 12)",46880.185024963364
"(0, 2, 1)","(0, 1, 2, 12)",46711.638212079226
"(0, 2, 1)","(0, 2, 0, 12)",91961.37745713361
"(0, 2, 1)","(0, 2, 1, 12)",65277.745784205385
"(0, 2, 1)","(0, 2, 2, 12)",28037.984546397485
"(0, 2, 1)","(1, 0, 0, 12)",47857.76910032115
"(0, 2, 1)","(1, 0, 1, 12)",47856.31009576579
"(0, 2, 1)","(1, 0, 2, 12)",47835.20791669193
"(0, 2, 1)","(1, 1, 0, 12)",58245.2927496354
"(0, 2, 1)","(1, 1, 1, 12)",46764.175081043024
"(0, 2, 1)","(1, 1, 2, 12)",45523.78658924237
"(0, 2, 1)","(1, 2, 0, 12)",77660.98989875022
"(0, 2, 1)","(1, 2, 1, 12)",58328.3208657215
"(0, 2, 1)","(1, 2, 2, 12)",30096.45581687459
"(0, 2, 1)","(2, 0, 0, 12)",47835.21779911943
"(0, 2, 1)","(2, 0, 1, 12)",47836.93180056423
"(0, 2, 1)","(2, 0, 2, 12)",45253.71032019073
"(0, 2, 1)","(2, 1, 0, 12)",55349.9691240166
"(0, 2, 1)","(2, 1, 1, 12)",46596.15153258157
"(0, 2, 1)","(2, 1, 2, 12)",45539.07406015868
"(0, 2, 1)","(2, 2, 0, 12)",73065.57210814262
"(0, 2, 1)","(2, 2, 1, 12)",55440.83915504021
"(0, 2, 1)","(2, 2, 2, 12)",40169.04883568908
"(0, 2, 2)","(0, 0, 0, 12)",47563.53580772667
"(0, 2, 2)","(0, 0, 1, 12)",47542.575968137084
"(0, 2, 2)","(0, 0, 2, 12)",47510.5068209404
"(0, 2, 2)","(0, 1, 0, 12)",64897.56944972859
"(0, 2, 2)","(0, 1, 1, 12)",46704.29195353474
"(0, 2, 2)","(0, 1, 2, 12)",46568.2913822701
"(0, 2, 2)","(0, 2, 0, 12)",91593.7644620217
"(0, 2, 2)","(0, 2, 1, 12)",64937.73146109556
"(0, 2, 2)","(0, 2, 2, 12)",33160.89024845189
"(0, 2, 2)","(1, 0, 0, 12)",47546.813576083994
"(0, 2, 2)","(1, 0, 1, 12)",47544.52040257453
"(0, 2, 2)","(1, 0, 2, 12)",47512.58479066302
"(0, 2, 2)","(1, 1, 0, 12)",57979.18384693655
"(0, 2, 2)","(1, 1, 1, 12)",46611.90925158431
"(0, 2, 2)","(1, 1, 2, 12)",45480.11449347038
"(0, 2, 2)","(1, 2, 0, 12)",77404.3412413432
"(0, 2, 2)","(1, 2, 1, 12)",58053.7538446509
"(0, 2, 2)","(1, 2, 2, 12)",26605.684707299977
"(0, 2, 2)","(2, 0, 0, 12)",47520.491744111554
"(0, 2, 2)","(2, 0, 1, 12)",47522.18296836756
"(0, 2, 2)","(2, 0, 2, 12)",45155.372962727524
"(0, 2, 2)","(2, 1, 0, 12)",55044.7596461165
